"Inzest";
"Streit über Landansprüche";
"Dorfevent bedroht durch Mord";"es muss zumindest darüber geredet werden, dass es potentiell ausfallen könnte"
"irgendetwas steht kurz vor der Insolvenz";"Privatinsolvenz ist auch Insolvenz"
"Pfarrer*in hat definitiv Dreck am Stecken";
"Publeute haben definitiv Dreck am Stecken";
"jemand wird erpresst";
"Motiv: Erbe";
"Motiv: Vertuschung vorheriger Morde";
"Motiv: Rache";
"Erbüberraschung";
"alle warten darauf, dass Papa/Mama/Oma/Opa stirbt";
"jemand bekommt bedrohliche Briefe";
"jemand hat kein Alibi";
"jemand lügt über Alibi";
"jemand ist vorbestraft";
"jemand wartet unnötig lange um Polizei zu rufen";
"reiche Menschen gar nicht so reich";
"kaputtes Dach";
"reiche Menschen respektieren Polizei nicht";
"überraschende Enthüllung sexueller Orientierung";
"Mann war nie zeugungsfähig";"Stichwort NIE"
"uneheliche Kinder";
"Totgeglaubte gar nicht tot";
"jemand kehrt zurück ins Dorf";
"letzte Worte à la 'Was machst du denn hier?'";
"nächstes Opfer wollte Täter*in erpressen";
"Schuld eigen";"Opfer hat es irgendwie verdient"
"niemand konnte Opfer leiden";
"Witwe/r trauert zu 0%";
"Mord während Telefonat";
"jemandem wird eine Falle gestellt";
"Mord vor dem Fernseher";
"jemand wird eingesperrt";
"jemand hat tatsächlich Suizid begangen";
"jemand hat 'Suizid' begangen";
"falsche Person wird umgebracht";
"jemand überlebt Mordversuch";
"alle Morde sind geplant";
"'Unfall' war tatsächlich Mord";
"extrem skurrile Mordmethode";
"Showdown in der Kirche";
"Gärtner*in ist Mörder*in";
"Pfarrer*in ist Mörder*in";
"Mord ist Familiensache";"Familie rottet sich quasi selbst aus"
"alle sind kriminell";"min. 2 andere Straften ohne Bezug zum Mord"
"jemand wird erstochen";
"jemand wird erdrosselt";
"jemand wird Treppe runter geschubst";
"Themen-Morde";"Cricket, Vogelscheuchen, Garten, ..."
"Mord im Wald";
"Mörder*innen Monolog";
"jemand wird vergiftet";
"Kollateralschaden";
